competition,match_id,date,season,team,opponent,win,chase,close_game,run_diff,runs,legal_balls_faced,runs_allowed,legal_balls_bowled,wickets_lost,wickets_taken,dot_balls_bat,dot_balls_bowl,boundaries,pp_runs,pp_legal_balls,death_runs,death_legal_balls,fielding_dismissals,run_rate,runs_per_ball,dot_ball_rate_bat,dot_ball_rate_bowl,bowler_wkts_per_match,powerplay_economy,death_economy,runs_allowed_per_legal_ball,boundary_rate_per_ball,death_run_rate,powerplay_run_rate,fielding_dismissals_per_match,n_matches,EDGE
BPL,1063061,2016-11-13,2016/17,Barisal Bulls,Rajshahi Kings,1,0,1,4,192,120,188,120,4,6,37,41,21,28,36,72,30,8,9.600000000000001,1.6,0.30833333333333335,0.3416666666666667,6,4.666666666666667,14.399999999999999,1.5666666666666667,0.175,14.399999999999999,4.666666666666667,8,12,13.125
BPL,1063061,2016-11-13,2016/17,Rajshahi Kings,Barisal Bulls,0,1,1,-4,188,120,192,120,6,4,41,37,26,49,36,38,30,8,9.4,1.5666666666666667,0.3416666666666667,0.30833333333333335,4,8.166666666666668,7.6,1.6,0.21666666666666667,7.6,8.166666666666668,8,15,64.375
BPL,1063062,2016-11-13,2016/17,Khulna Titans,Comilla Victorians,1,0,0,13,144,120,131,120,9,9,47,57,15,59,36,29,30,13,7.199999999999999,1.2,0.39166666666666666,0.475,9,9.833333333333332,5.8,1.0916666666666666,0.125,5.8,9.833333333333332,13,13,71.875
BPL,1063062,2016-11-13,2016/17,Comilla Victorians,Khulna Titans,0,1,0,-13,131,120,144,120,9,9,57,47,14,40,36,34,30,13,6.549999999999999,1.0916666666666666,0.475,0.39166666666666666,9,6.666666666666667,6.8,1.2,0.11666666666666667,6.8,6.666666666666667,13,11,26.875
BPL,1063063,2016-11-17,2016/17,Dhaka Dynamites,Chittagong Vikings,1,0,0,19,148,120,129,120,9,8,43,39,19,58,36,25,30,12,7.4,1.2333333333333334,0.35833333333333334,0.325,8,9.666666666666668,5.0,1.075,0.15833333333333333,5.0,9.666666666666668,12,14,96.875
BPL,1063063,2016-11-17,2016/17,Chittagong Vikings,Dhaka Dynamites,0,1,0,-19,129,120,148,120,8,9,39,43,12,32,36,41,30,12,6.449999999999999,1.075,0.325,0.35833333333333334,9,5.333333333333333,8.2,1.2333333333333334,0.1,8.2,5.333333333333333,12,13,45.625
BPL,1063064,2016-11-17,2016/17,Rangpur Riders,Barisal Bulls,1,0,0,12,175,120,163,118,6,10,38,41,21,58,36,41,30,14,8.75,1.4583333333333333,0.31666666666666665,0.3474576271186441,10,9.666666666666668,8.2,1.38135593220339,0.175,8.2,9.666666666666668,14,12,24.375
BPL,1063064,2016-11-17,2016/17,Barisal Bulls,Rangpur Riders,0,1,0,-12,163,118,175,120,10,6,41,38,15,44,36,42,28,14,8.288135593220339,1.38135593220339,0.3474576271186441,0.31666666666666665,6,7.333333333333334,9.0,1.4583333333333333,0.1271186440677966,9.0,7.333333333333334,14,12,13.125
BPL,1063065,2016-11-18,2016/17,Chittagong Vikings,Rajshahi Kings,1,0,0,19,190,120,171,120,5,9,40,37,26,44,36,76,30,11,9.5,1.5833333333333333,0.3333333333333333,0.30833333333333335,9,7.333333333333334,15.2,1.425,0.21666666666666667,15.2,7.333333333333334,11,13,45.625
BPL,1063065,2016-11-18,2016/17,Rajshahi Kings,Chittagong Vikings,0,1,0,-19,171,120,190,120,9,5,37,40,21,49,36,41,30,11,8.55,1.425,0.30833333333333335,0.3333333333333333,5,8.166666666666668,8.2,1.5833333333333333,0.175,8.2,8.166666666666668,11,15,64.375
